PRICE $,BEDS,BATHS,SQFT,LOTSIZE,LOTUNIT,SIZE,HtY,HtY %,STREET,CITY/TOWN,STATE,ZIP,LINK
"1,238,888",4,3.0,1725,2495,sqft lot,2495,1.45,0.69,550 Moscow St,San Francisco,CA,94112,https://www.realtor.com/realestateandhomes-detail/550-Moscow-St_San-Francisco_CA_94112_M29960-89686
"2,500,000",4,3.0,3128,1750,sqft lot,1750,0.56,1.79,112-120 Putnam St,San Francisco,CA,94110,https://www.realtor.com/realestateandhomes-detail/112-Putnam-St_San-Francisco_CA_94110_M10928-43470
"1,300,000",2,1.0,850,1438,sqft lot,1438,1.69,0.59,1210 48th Ave,San Francisco,CA,94122,https://www.realtor.com/realestateandhomes-detail/1210-48th-Ave_San-Francisco_CA_94122_M23107-25440
"2,600,000",5,4.5,2536,3000,sqft lot,3000,1.18,0.85,519 4th Ave Unit 521,San Francisco,CA,94118,https://www.realtor.com/realestateandhomes-detail/519-4th-Ave_San-Francisco_CA_94118_M25993-24270
"3,295,000",4,3.0,2717,4147,sqft lot,4147,1.53,0.66,281 Edgewood Ave,San Francisco,CA,94117,https://www.realtor.com/realestateandhomes-detail/281-Edgewood-Ave_San-Francisco_CA_94117_M22726-54168
"1,899,000",3,2.0,1635,2874,sqft lot,2874,1.76,0.57,5624 Fulton St,San Francisco,CA,94121,https://www.realtor.com/realestateandhomes-detail/5624-Fulton-St_San-Francisco_CA_94121_M21895-73861
"1,750,000",3,2.0,1732,2996,sqft lot,2996,1.73,0.58,366 32nd Ave,San Francisco,CA,94121,https://www.realtor.com/realestateandhomes-detail/366-32nd-Ave_San-Francisco_CA_94121_M17609-89628
"7,900,000",3,3.5,3525,4163,sqft lot,4163,1.18,0.85,3075 Pacific Ave,San Francisco,CA,94115,https://www.realtor.com/realestateandhomes-detail/3075-Pacific-Ave_San-Francisco_CA_94115_M23457-69611
"6,495,000",6,6.5,6938,5611,sqft lot,5611,0.81,1.24,1823 Jackson St,San Francisco,CA,94109,https://www.realtor.com/realestateandhomes-detail/1823-Jackson-St_San-Francisco_CA_94109_M13486-16081
"1,849,000",3,2.5,1755,2038,sqft lot,2038,1.16,0.86,739 Congo St,San Francisco,CA,94131,https://www.realtor.com/realestateandhomes-detail/739-Congo-St_San-Francisco_CA_94131_M29603-03008
"945,000",1,1.0,560,1750,sqft lot,1750,3.12,0.32,131 Moultrie St,San Francisco,CA,94110,https://www.realtor.com/realestateandhomes-detail/131-Moultrie-St_San-Francisco_CA_94110_M13725-61635
"1,500,000",3,2.0,1530,2590,sqft lot,2590,1.69,0.59,95 Rae Ave,San Francisco,CA,94112,https://www.realtor.com/realestateandhomes-detail/95-Rae-Ave_San-Francisco_CA_94112_M25381-05773
"2,749,000",3,2.0,1697,3123,sqft lot,3123,1.84,0.54,222 Roosevelt Way,San Francisco,CA,94114,https://www.realtor.com/realestateandhomes-detail/222-Roosevelt-Way_San-Francisco_CA_94114_M26084-57575
"1,190,000",2,1.0,1200,2199,sqft lot,2199,1.83,0.55,839 Garfield St,San Francisco,CA,94132,https://www.realtor.com/realestateandhomes-detail/839-Garfield-St_San-Francisco_CA_94132_M18882-62269
"9,495,000",5,4.5,5445,3438,sqft lot,3438,0.63,1.58,2644 Filbert St,San Francisco,CA,94123,https://www.realtor.com/realestateandhomes-detail/2644-Filbert-St_San-Francisco_CA_94123_M25496-97407
"2,998,000",3,2.5,1430,3608,sqft lot,3608,2.52,0.4,740 Francisco St,San Francisco,CA,94133,https://www.realtor.com/realestateandhomes-detail/740-Francisco-St_San-Francisco_CA_94133_M97893-91290
